ID,X,Y,V,eV,VI,eVI,MP,sel
541,477.1,491.6,26.134,0.015,0.983,0.021,1.0,1
339,420.0,361.0,26.148,0.015,0.633,0.025,1.0,1
109,335.5,434.8,26.176,0.016,0.708,0.025,1.0,1
175,366.9,328.2,26.188,0.015,-0.057,0.04,1.0,1
305,410.5,428.6,26.19,0.015,0.417,0.028,1.0,1
485,460.0,520.9,26.204,0.016,1.256,0.021,1.0,1
739,559.3,312.3,26.209,0.016,1.07,0.022,1.0,1
742,560.7,412.4,26.231,0.016,1.599,0.019,1.0,1
765,575.2,496.6,26.236,0.017,0.958,0.024,1.0,1
292,406.7,466.2,26.237,0.016,0.492,0.029,1.0,1
641,512.7,544.2,26.242,0.017,0.75,0.026,1.0,1
767,576.5,386.5,26.267,0.018,0.831,0.027,1.0,1
737,557.3,300.3,26.289,0.017,0.871,0.025,1.0,1
727,552.1,361.7,26.291,0.017,0.829,0.026,1.0,1
355,424.0,321.7,26.298,0.017,0.674,0.028,1.0,1
53,309.7,326.2,26.305,0.017,0.716,0.028,1.0,1
503,465.3,494.3,26.322,0.018,0.624,0.03,1.0,1
607,502.3,394.1,26.326,0.018,0.981,0.025,1.0,1
438,447.5,492.1,26.341,0.018,0.842,0.027,1.0,1
500,465.1,373.3,26.343,0.017,0.695,0.028,1.0,1
193,373.5,459.5,26.354,0.019,0.746,0.03,1.0,1
150,357.3,335.6,26.36,0.018,0.972,0.026,1.0,1
451,450.7,382.5,26.365,0.018,0.711,0.029,1.0,1
225,384.4,315.4,26.371,0.018,0.49,0.033,1.0,1
24,296.6,515.8,26.384,0.018,-0.055,0.048,1.0,1
712,544.4,485.6,26.385,0.019,0.884,0.028,1.0,1
724,551.3,449.5,26.389,0.019,0.592,0.032,1.0,1
600,499.8,415.9,26.393,0.018,0.561,0.032,1.0,1
221,382.1,445.1,26.414,0.019,0.66,0.031,1.0,1
18,292.8,466.3,26.424,0.019,0.385,0.037,1.0,1
637,512.5,408.1,26.435,0.019,0.811,0.029,1.0,1
383,431.8,489.9,26.46,0.019,0.053,0.047,1.0,1
181,370.4,430.4,26.473,0.02,0.826,0.03,1.0,1
455,452.6,313.7,26.48,0.02,0.58,0.034,1.0,1
571,488.1,337.0,26.484,0.02,0.83,0.03,1.0,1
274,400.6,462.4,26.485,0.02,0.647,0.034,1.0,1
454,452.5,348.3,26.496,0.02,0.987,0.028,1.0,1
116,337.9,285.3,26.503,0.02,0.51,0.036,1.0,1
102,331.5,482.4,26.509,0.02,0.367,0.039,1.0,1
400,435.9,467.3,26.512,0.02,0.664,0.034,1.0,1
386,432.6,508.6,26.513,0.021,0.974,0.03,1.0,1
144,353.8,431.9,26.515,0.021,0.973,0.03,1.0,1
707,542.5,445.0,26.517,0.021,0.857,0.031,1.0,1
619,504.8,465.8,26.521,0.019,-0.821,0.096,1.0,1
154,360.4,434.5,26.527,0.021,0.8,0.032,1.0,1
647,515.7,409.6,26.545,0.021,0.367,0.041,1.0,1
136,351.6,359.3,26.558,0.021,0.714,0.034,1.0,1
636,512.1,504.0,26.563,0.022,0.829,0.033,1.0,1
295,408.4,486.9,26.565,0.021,1.24,0.028,1.0,1
643,513.8,465.1,26.571,0.02,-0.583,0.082,1.0,1
373,429.4,391.7,26.576,0.021,-0.012,0.053,1.0,1
37,302.0,324.9,26.577,0.021,0.845,0.032,1.0,1
43,304.4,361.4,26.605,0.022,0.569,0.038,1.0,1
